日期,区域,订单数,销售件数,销售金额,退货金额,净收入,活跃客户数,缺客户ID行数
2009-12-01,英国,144,22698,46261.24,1095.74,45165.5,106,891
2009-12-01,非英国,10,3372,6177.37,202.05,5975.32,8,0
2009-12-02,英国,119,27267,54629.78,114.2,54515.58,92,961
2009-12-02,非英国,8,4532,7243.32,387.15,6856.17,6,2
2009-12-03,英国,131,48672,71958.23,3538.13,68420.1,110,581
2009-12-03,非英国,6,547,1101.55,363.3,738.25,6,0
2009-12-04,英国,94,19744,37025.24,279.65,36745.59,76,587
2009-12-04,非英国,6,1448,2323.97,69.9,2254.07,6,0
2009-12-05,英国,29,4722,9042.36,0.0,9042.36,25,0
2009-12-05,非英国,1,397,760.69,0.0,760.69,1,0
2009-12-06,英国,87,10836,23013.33,296.44,22716.89,60,11
2009-12-06,非英国,3,689,1271.69,0.0,1271.69,3,0
2009-12-07,英国,101,16083,38442.03,395.8,38046.23,77,1064
2009-12-07,非英国,13,1853,4515.44,40.8,4474.64,10,1
2009-12-08,英国,147,22052,45664.88,5271.44,40393.44,122,454
2009-12-08,非英国,13,1078,3029.83,451.65,2578.18,9,0
2009-12-09,英国,92,17105,37090.53,133.26,36957.27,73,1012
2009-12-09,非英国,5,730,1779.78,86.28,1693.5,4,0
2009-12-10,英国,110,22900,41306.6,847.47,40459.13,92,507
2009-12-10,非英国,7,676,853.77,200.86,652.91,5,0
2009-12-11,英国,113,21268,39447.89,1168.38,38279.51,90,14
2009-12-11,非英国,4,0,0.0,51.3,-51.3,3,0
2009-12-13,英国,71,11175,19561.62,247.1,19314.52,58,18
2009-12-13,非英国,6,1331,2340.84,0.0,2340.84,5,13
2009-12-14,英国,98,42521,65171.29,255.29,64916.0,75,2129
2009-12-14,非英国,9,2767,4634.17,171.95,4462.22,5,0
2009-12-15,英国,103,26010,47220.96,509.84,46711.12,89,380
2009-12-15,非英国,3,1048,2419.2,0.0,2419.2,3,0
2009-12-16,英国,98,23972,48321.85,32.85,48289.0,79,1465
2009-12-16,非英国,5,909,1747.07,78.2,1668.87,4,0
2009-12-17,英国,152,14610,27286.36,1086.33,26200.03,113,217
2009-12-17,非英国,3,793,2422.04,3.25,2418.79,3,0
2009-12-18,英国,61,8807,27425.84,161.21,27264.63,48,855
2009-12-18,非英国,13,8585,13656.59,55.8,13600.79,7,60
2009-12-20,英国,37,5341,10046.33,103.55,9942.78,32,4
2009-12-20,非英国,3,890,1179.66,11.9,1167.76,3,0
2009-12-21,英国,46,3808,8126.18,1244.47,6881.71,30,167
2009-12-21,非英国,3,4954,7944.86,0.0,7944.86,3,0
2009-12-22,英国,65,14200,24491.27,538.49,23952.78,31,1553
2009-12-22,非英国,1,253,488.51,0.0,488.51,1,0
2009-12-23,英国,22,2449,5515.61,18.3,5497.31,13,183
2009-12-23,非英国,3,2128,5149.06,45.75,5103.31,2,0
2010-01-04,英国,37,10636,13400.8,200.36,13200.44,25,7
2010-01-04,非英国,2,0,0.0,30.29,-30.29,2,0
2010-01-05,英国,40,11296,19114.34,96.95,19017.39,31,11
2010-01-06,英国,14,7456,8733.0,0.0,8733.0,13,1
2010-01-07,英国,74,12602,24237.37,642.81,23594.56,65,14
2010-01-07,非英国,9,28010,48783.52,127.95,48655.57,6,0
2010-01-08,英国,39,10462,24247.08,21.9,24225.18,36,1
2010-01-08,非英国,4,2213,4008.83,0.0,4008.83,4,0
2010-01-10,英国,36,13075,22837.61,168.68,22668.93,28,14
2010-01-10,非英国,1,304,648.24,0.0,648.24,1,0
2010-01-11,英国,51,12595,30482.11,206.27,30275.84,34,2123
2010-01-11,非英国,9,1368,3640.33,171.0,3469.33,7,0
2010-01-12,英国,39,20149,38118.86,93.7,38025.16,30,246
2010-01-12,非英国,3,1094,2046.56,0.0,2046.56,3,0
